ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
kNOfnVxa3X6mBGy2_jowUvbY8VAVmJ1RVQexWoEYJl8,2013-10-20T01:20:27,2013-10-20T01:20:27,"If you drop it  it ...,"If you drop it  it looks like it's not﻿ gonna break." HAHA,59,0,metsfan12694,metsfan12694,UCifd2MU2qZ2mlWFoMOhM6sA
kNOfnVxa3X5MrgSG5E4bZNp25LIDFVXS6rg96m33wQ8,2013-10-17T03:14:57,2013-10-17T03:14:57,it's probably ...,it's probably because the phone itself﻿ is new and it looks better than the phones currently have,97,0,Arun Machanickal,macdude459,UCJpui3YGrKk_EsTsmUEwsYQ
kNOfnVxa3X6IKrYoQNNbV7ka6qfBy3bKez3ZXUhzbfg,2013-10-13T03:53:55,2013-10-13T03:53:55,Shit. I have grown ...,Shit. I have grown to be incredibly envious of my brother's best friend. He has actually been unattached forever. Yet somehow he's mind-fucked a catalogue model to inform him she is in love with with him in less than a month. How is that actually possible? He informed me he used the Cupid Love System (Google it!) I wish someone lovely said that to me... I've not before seen him﻿ so positive. Kinda makes me feel bad.,419,0,Pranav P,Ik6LTN1Ov9FgE_cmr3e2cw,UCIk6LTN1Ov9FgE_cmr3e2cw
kNOfnVxa3X5nXzsBnUrpjhpC6UTF4ZYlSijU2u_qg2U,2013-10-13T03:21:57,2013-10-13T03:21:57,That's beyond ...,That's beyond idiotic. I live in West Hollywood  it's a VERY nice neighborhood that borders on Hollywood. TRUST ME  anyone WALKING down Hollywood Boulevard (where they film Kimmel) is a total FREAK or dumbass TOURIST. Apple's﻿ REAL customers know EXACTLY what's coming out  when it's coming out  and what it looks like and what it does. Go stroke it to your chintzy﻿ Google Android Windows shitty phone.,403,0,godfatherNYC,godfatherNYC,UChg_H2nfAlev9IHSAgrLs8A
kNOfnVxa3X4khXTfhc2cZ-T83KTpvUdq9VVvyo-HGuE,2013-10-13T01:55:07,2013-10-13T01:55:07,Found a great site ...,Found a great site for unlocking AT&T locked iphones  the site is attiphoneunlocking  they can unlock all AT&T﻿ locked phones under 2 hours,139,0,Brookover Buscher,7axWNX1h6DdzEPuISEmuzA,UC7axWNX1h6DdzEPuISEmuzA
kNOfnVxa3X7u0KoU8afpss6BJuQT2N4GGPMo349uyvs,2013-10-12T20:11:14,2013-10-12T20:11:14,unfortunately ...,unfortunately people are retarded and dumb all﻿ around the world.,65,0,CzechRiot,CzechRiot,UCN43cITn-okSmSIknSfDFeA
kNOfnVxa3X4947ynlgtX-K4-5jcPy0SbPS2efdbky7o,2013-10-12T04:57:22,2013-10-12T04:57:22,My way of computer ...,My way of computer maneuvering is limited by a contempt for the blasted machines  as I know the damn﻿ things mock me regularly! I found my way here  as have 17 million others? My intention was to thank Jimmie  for Bonnie Raitt being on tonight's show. I thank you very kindly Mr. Kimmel  your efforts shall not go by unappreciated. THANKS! Oh? Tonight is Friday 10/11/13 please make a note of it.,396,0,ed schneider,SuqJoq5ySim9kdKvao18yA,UCSuqJoq5ySim9kdKvao18yA
kNOfnVxa3X7GyFGUZGXaoX7ltMwWNT-tRaUf8IqLkC4,2013-10-12T00:47:28,2013-10-12T00:47:28,Attiphoneunlocking ...,Attiphoneunlocking is one of the few sites that is still able to unlock AT&T phones after AT&T does not permit the access to their﻿ database for many cheap unlocks anymore. Attiphoneunlocking is one of the most reliable unlocking site for AT&T with no doubt.,258,0,Firth Dunneback,E36z5o1awGEowcBj4deJuw,UCE36z5o1awGEowcBj4deJuw
kNOfnVxa3X62zyDhsL9T531VzfnWmMz9yh8j5QgwkxU,2013-10-10T21:35:42,2013-10-10T21:35:42,For the sake of ...,For the sake of humanity  I hope these "iFools" remove themselves from the gene﻿ pool.,86,0,tontsa911,tontsa911,UCEKZrLVeKWeyZYN1FucCAkw
kNOfnVxa3X6JFTPbOUrQt-qAi36SghG1en6z_4GBfKs,2013-10-09T18:19:34,2013-10-09T18:19:34,this is﻿ how stupid ...,this is﻿ how stupid people are..,32,0,Hamzh Bost,IneedDr,UC0pyWD0PitLAMNhqhzyKYTA
