ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
173BhIiTfL-as_nGEeOhVnqgttgFp5ufEDP7_AASfe4,2013-10-20T17:34:24,2013-10-20T17:34:24,2﻿ Beast,2﻿ Beast,8,0,UnnecessaryHD,UnnecessaryHD,UC0MpwurYoI7L40KU_00qroA
173BhIiTfL_OSugATyh7al4wNjLBzPr-WUaIrNq_39M,2013-10-20T17:32:07,2013-10-20T17:32:07,Skyrim ﻿,Skyrim ﻿,8,0,Mugiwara ルフィ,FGHlBLaxJmi1PMzU2q_Tpw,UCFGHlBLaxJmi1PMzU2q_Tpw
173BhIiTfL-DB1QMwwRlEVJOLtoxVfnOJZsYPX3x6Y0,2013-10-20T17:29:29,2013-10-20T17:29:29,Goosebumps... ...,Goosebumps... goosebumps everywhere...﻿,39,0,rapandmgsfan,rapandmgsfan,UC-xfimsHwoh16-OKCcGr-3w
173BhIiTfL_yg6iP1ioh3xC_L6Ma-VH0HK3SGagoRPA,2013-10-20T17:29:12,2013-10-20T17:29:12,There are ways that ...,There are ways that rich are hiding from us! Gooogle '' CASH TEACHER TRICK '' goto the top site. Click the PENNYST0CK sections once you get to the site﻿ and you will see why they don't want you to know about this. Seriously crazy how easy it is.,245,0,frank milsl,K-kThXeGtqWBIYyQXbKf2g,UCK-kThXeGtqWBIYyQXbKf2g
173BhIiTfL_iYv0b_ZsqVPU0zegGGxHYkpHFt95UcrM,2013-10-20T17:25:54,2013-10-20T17:25:54,November﻿ 15th A ...,November﻿ 15th A Perfect Day!,29,0,oGSteffan,oGSteffan,UChl_VKU8UF7ZwKdwrC4d6Bg
173BhIiTfL8gU9ySfhMfv39twg82YgB5zKDeqeHB7Vo,2013-10-20T17:21:17,2013-10-20T17:21:17,What are they ...,What are they drinking in﻿ the park?,36,0,tyree davis,jpebCqZL6wrS_83cOKz1IA,UCjpebCqZL6wrS_83cOKz1IA
173BhIiTfL9--Cqu2XN9j9QkXoXj9gzxl50gccms6zk,2013-10-20T17:16:28,2013-10-20T17:16:28,GET﻿ PS4!,GET﻿ PS4!,9,0,ToxicRobot1,ToxicRobot1,UCSOXOMq_typgr_1CplBihzQ
173BhIiTfL_SjKIGy7ppO7-sGXnRVd_IUJBNZCcr85A,2013-10-20T17:13:57,2013-10-20T17:13:57,we still got need ...,we still got need for speed﻿ though!,36,0,ToxicRobot1,ToxicRobot1,UCSOXOMq_typgr_1CplBihzQ
173BhIiTfL97QO1Fy0Zz_ghexT6w3EXUhW0sYuc_Z4g,2013-10-20T17:13:42,2013-10-20T17:13:42,Whats that 1st game ...,Whats that 1st game there representing?﻿,40,0,BlameHard,BlameHard,UCqJrIlyhaWWt-eveMuL0fmQ
173BhIiTfL8DhNILoMwHUaU9YUgnGoPO2LQ81YP2ILk,2013-10-20T17:13:13,2013-10-20T17:13:13,That's no surprise ...,That's no surprise it's the first game I'm getting on ps4﻿,58,0,ToxicRobot1,ToxicRobot1,UCSOXOMq_typgr_1CplBihzQ
173BhIiTfL9fN1HNHUaFQqkOCK0OCCgOpVcAUHso_ww,2013-10-20T17:09:54,2013-10-20T17:09:54,Perfect day look it ...,Perfect day look it up on﻿ youtube,34,0,Rob6853,Rob6853,UCzcoefbzeYVLto3Sl9xuVCA
173BhIiTfL_VBr7Bck9foSJOOCYeXqnA-EaMN6JDyYk,2013-10-20T17:07:23,2013-10-20T17:07:23,i love this ...,i love this commercial﻿,23,0,zachary hunter,_O6v1P6UTU3T2YKYxr34JQ,UC_O6v1P6UTU3T2YKYxr34JQ
173BhIiTfL-emmrhwZZq_Z60mzG_O57qqNzIC53IwVA,2013-10-20T17:02:06,2013-10-20T17:02:06,What is this music?﻿,What is this music?﻿,20,0,TheMostGamerMEX,MultiRoberth123,UC3bpybQASNFTodz6qGlnXIA
173BhIiTfL9mgUreHYMgnbJGczPJIEXcmB5xOprg5Go,2013-10-20T16:56:30,2013-10-20T16:56:30,killzone﻿ number 1 ...,killzone﻿ number 1 in pre orders!,33,0,primetime223,primetime223,UC23wTCTXujn1hfpJbfHbV6Q
173BhIiTfL_EbyrIyZEwVMT90DrQtYTotrMIweC_KQk,2013-10-20T16:56:04,2013-10-20T16:56:04,#YPR anybody from ...,#YPR anybody from uk wants to join the young people revolution with VEMMA and get earning get in touch with﻿ me.... PS4THEWIN,125,0,BGDKID1,BGDKID1,UCDbxoOh3pmxhnphM_KjD34g
173BhIiTfL9FBCVUcQXi-9QQgjlCgG6CEm1N2vlYky4,2013-10-20T16:55:48,2013-10-20T16:55:48,driveclub is﻿ ...,driveclub is﻿ delayed now also :(,33,0,kinz7865jh,kinz7865jh,UCXs0tWfPdNoOEsDg6jA0gMQ
173BhIiTfL_vj902WpHwXAL9KtSAIVmwcN1E-lNqY3Y,2013-10-20T16:53:51,2013-10-20T16:53:51,Have you seen the ...,Have you seen the guy that turned 1000 into a million? Google the term " CASH TEACHER TRICK " and go to the top site. click on the PENNYST0CK pages and see how he takes a little bit of cash and makes it into tons. The best part is that we can get in on the action. Check it out it is free to﻿ see it and pretty cool.,316,0,frank milsl,K-kThXeGtqWBIYyQXbKf2g,UCK-kThXeGtqWBIYyQXbKf2g
173BhIiTfL9MxAxGFSR_0j9RCe1cow-6-343Wwi9tOA,2013-10-20T16:41:31,2013-10-20T16:41:31,you couldn't be ...,you couldn't be more﻿ wrong good sir,36,0,19sheffield84,19sheffield84,UCknvNHpHZCObyNgCK-GfoDA
173BhIiTfL_HTvNTG-yDR1z1vRRBIgn_zUXhMcdRBTQ,2013-10-20T16:38:20,2013-10-20T16:38:20,Elder Scrolls﻿ ...,Elder Scrolls﻿ Online  Driveclub and Killzone Shadowfall,56,0,19sheffield84,19sheffield84,UCknvNHpHZCObyNgCK-GfoDA
173BhIiTfL-3flMgKZYDTnEynzZf35uH225g2ygTD6k,2013-10-20T16:37:58,2013-10-20T16:37:58,Killzone Shadowfall﻿,Killzone Shadowfall﻿,20,0,Slashx69,Slashx69,UCcf1QSYpHLL2pJjbpxwQKHg
173BhIiTfL_zHP17JvHY9rFHxns7t7ntKfCf8F-GSAw,2013-10-20T16:37:06,2013-10-20T16:37:06,*The Elder Scrolls﻿ ...,*The Elder Scrolls﻿ Online *Driveclub *Killzone Shadowfall,58,0,Slashx69,Slashx69,UCcf1QSYpHLL2pJjbpxwQKHg
173BhIiTfL_zS0jwE6cXpEVCAGpU7cuZ1vxv-sJhHIU,2013-10-20T16:34:31,2013-10-20T16:34:31,what were all the ...,what were all the games they did in the commercial?﻿,52,0,Xoxbattleangel,Xoxbattleangel,UC2L9wSbjj3MDOvPnVj2L-gw
173BhIiTfL8J1EU4yXbtilUpEgyVob08GoKBhKeNrZM,2013-10-20T16:27:06,2013-10-20T16:27:06,Eh. I'll stick with ...,Eh. I'll stick with my PC and Nintendo consoles. Nice commercial﻿ though  wish big N would take their advertising more seriously.,129,0,KriegProductions,KriegProductions,UCb6RWxtVeN2uojyV3GKnv2g
173BhIiTfL-9iwaR1K3PNqmpCnIHBxYW_gcXcMHbc40,2013-10-20T16:26:59,2013-10-20T16:26:59,i though i saw the ...,i though i saw the word "xbox"﻿ when it changes from greatness awaits to ps4,76,0,Glen Q,GlenQGiggityGoo,UCoSn7UuZ7oq43R2SVXNqPqQ
173BhIiTfL9aYiT4Wz-_1w25e3E7KEPJF015VUmxC6U,2013-10-20T16:23:42,2013-10-20T16:23:42,This sounds like﻿ a ...,This sounds like﻿ a horror movie.,33,0,MrSkellington101,MrSkellington101,UC8Rk-abyLKkUPkBDXCww9Ow
173BhIiTfL8wYG7joQ8zAr0jB6QCRPvQPThI6lczaE8,2013-10-20T16:22:58,2013-10-20T16:22:58,Bore﻿ off you ...,Bore﻿ off you peasant.,22,0,Hannibal Lector,hrk7vf2WM0i-Ox43M1TPkQ,UChrk7vf2WM0i-Ox43M1TPkQ
173BhIiTfL-I1JIVbelAKQlEObzxnPShfbhcDHGAiww,2013-10-20T16:21:15,2013-10-20T16:21:15,lol delayed ﻿,lol delayed ﻿,13,0,dranucus crater,0wuToCswYATHkqyO2i9Vog,UC0wuToCswYATHkqyO2i9Vog
173BhIiTfL8t_zRUGHyrWamxMY9cmIMS9aPO0XtoRqQ,2013-10-20T16:20:06,2013-10-20T16:20:06,Love it can't﻿ stop ...,Love it can't﻿ stop replaying it,32,0,David Flores,wkSN7i_N8gOHk3_4yh836g,UCwkSN7i_N8gOHk3_4yh836g
173BhIiTfL9SHqxQt_2l57K0HRHoy0crwZov4cYffAA,2013-10-20T16:15:49,2013-10-20T16:15:49,SONY takes lots of ...,SONY takes lots of money for﻿ ADs :) Love SONY <3,49,0,daft0pumpkin,daft0pumpkin,UCMSJElVHfLvweQ_QZ-k40Nw
173BhIiTfL8sirFNreyFduVbLwiPKIgwDwsN1wgW0UE,2013-10-20T16:15:24,2013-10-20T16:15:24,most depressing ...,most depressing part "we go﻿ home" *slash,41,0,sirdajon,sirdajon,UCeRb2Q16DlhfCsUJUv_QBAg
173BhIiTfL_d4rLkN8hhZ7xcPIEgK7DTKOoeIczJK0s,2013-10-20T16:14:43,2013-10-20T16:14:43,Whoever made this ...,Whoever made this deserves﻿ an Oscar,36,0,Mick Jagger,MickMcMickful,UCVOJBsJwlHWI7Sd4glw_ThQ
173BhIiTfL_LEoZTejVotqsp8Pg6zE1fjHcjwTwp0ZY,2013-10-20T16:14:16,2013-10-20T16:14:16,Here is the message ...,Here is the message you need to see. Google the term " CASH TEACHER TRICK '' and go? to the top site. Click the PENNYST0CK pages to see how the rich are making a fortunea and how﻿ we can too.,191,0,frank milsl,K-kThXeGtqWBIYyQXbKf2g,UCK-kThXeGtqWBIYyQXbKf2g
173BhIiTfL-2vlI5pzHegpPDwve6nGjDGw1RpWP1eyU,2013-10-20T16:12:58,2013-10-20T16:12:58,..Awesome..﻿,..Awesome..﻿,12,0,Funbloxia,Funbloxia,UCxKoSGsp_RMpCmPwdcfLmwA
173BhIiTfL9LAWyovQ9ZTa6dm4lxdntMJDvqB4DxOvI,2013-10-20T16:07:10,2013-10-20T16:07:10,Where is the final: ...,Where is the final: "PlayStation"??﻿,36,0,Alfonso Garzon,sCmMp8F9vh-BjprazD2VNg,UCsCmMp8F9vh-BjprazD2VNg
173BhIiTfL9DinjC3-kHEnUrMvecz15nNRa5r9k1YRU,2013-10-20T16:04:44,2013-10-20T16:04:44,or just Elder ...,or just Elder Scrolls  both work real﻿ well,43,0,obliviochamp5986,obliviochamp5986,UCVv5x6kKL19csw4GK8TC59A
173BhIiTfL9y_C0Q_-mT_q-VV7iRaYgiSLrXV8T6cuc,2013-10-20T15:58:53,2013-10-20T15:58:53,Where's WATCH_DOGS?﻿,Where's WATCH_DOGS?﻿,20,0,The Mexican Power gaming,TheMexicanPowerDOS,UCsM5-AzsxGuPy1dmxRD9XOQ
173BhIiTfL_AQT7YH3iO1U7RxT2LVGMYyxaNu1TkrhA,2013-10-20T15:58:34,2013-10-20T15:58:34,lol ur wrong﻿ about ...,lol ur wrong﻿ about that,24,0,DroidMediaHD,DroidMediaHD,UC1q5zsz0j18w8itBGNOHyng
173BhIiTfL-BW7PyZ_6okD1T-j9olwv00F7ez2CXHnA,2013-10-20T15:56:49,2013-10-20T15:56:49,its not sonys fault ...,its not sonys fault its cause brazil have a poor and isolated economy ﻿,71,0,siltopian7,siltopian7,UCXQ3uoY6LXrQr3aP2g5L0jg
173BhIiTfL_Q4wBKaKRElv-YD3-1rVaOQuZibRLX8xs,2013-10-20T15:55:13,2013-10-20T15:55:13,yeah playstation ...,yeah playstation commercial is always looks good but﻿ in reality ps4 is nothing more then a little upgraded ps3,111,0,Ulansananelan,Ulansananelan,UCt_Ko1COfo8ph42-rvLXx7A
173BhIiTfL8LMyAMNFWnsvm9SaQWuUsiEub1EZFd2TY,2013-10-20T15:54:10,2013-10-20T15:54:10,And what about  4 ...,And what about  4 thousand reais for PS4 (~ US$ 1.7 thousand) in Brazil. Everyone changing to Xbox one﻿ here....,112,0,metallerodg,metallerodg,UCc9gkiG03_Wrlq27fBtEN6w
