ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
xaS98o_Aoz_DZwO_i8wzcHiWtcxPTNAxwc0tvi9wcDE,2013-10-20T17:24:04,2013-10-20T17:24:04,This song is so ...,This song is so nice ﻿,22,0,Salelo Ackackoca,PeKtk06t21SUUIqnTz_eag,UCPeKtk06t21SUUIqnTz_eag
xaS98o_Aoz8WFy22uIpNErxqhHaHD81KFDTgOKjhYFI,2013-10-20T17:22:22,2013-10-20T17:22:22,Best song ever﻿,Best song ever﻿,15,0,Maria Herrera,gH3a7VAyMhKA0eS1JUqyig,UCgH3a7VAyMhKA0eS1JUqyig
xaS98o_Aoz_hNz5WWpTQatrHZQnlCJT82rnUiVbbz6o,2013-10-20T17:18:12,2013-10-20T17:18:12,Guys I started a ...,Guys I started a new website: Redmsquare(.)com It would be﻿ very nice of you if you check it out once. Thanks a ton :),118,0,ranvids,ranvids,UCoJMqsXKjKQ0JqDFe22JwIw
xaS98o_Aoz9ORHJz-cgfA3xO9dDXzsDjg8u90jtZSWY,2013-10-20T17:17:16,2013-10-20T17:17:16,Recommend:  Apple ...,Recommend:  Apple iPhone 5 (Latest Model) - 32GB - Black Unlocked NEW Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  LED 3D HDTV: Panasonic 65-inch Price: $460  Apple MacBook Pro 13-inch: 2.5GHz Intel Core i5 4GB/500GB Price:$430  All-in-One PCs: Apple MacBook Air Price:$320  Canon EOS 60D Digital SLR Camera﻿ 50mm 18-55mm Price:$360  ******************    Purchase online Website is:  Gaeee.com,484,1,king jim,XRDgi4t6OHIPhUSIlzKJng,UCXRDgi4t6OHIPhUSIlzKJng
xaS98o_Aoz-aPlNhhTQPOhQ-kuIaN1cZr42X1N2a2-U,2013-10-20T17:12:31,2013-10-20T17:12:31,Я охуєваю! Як такий ...,Я охуєваю! Як такий колгосп  міг набрати﻿ майже млрд переглядів?,64,0,Богдан Яковина,Marud2,UCXbM_00p17b4VTvSL01CrTw
xaS98o_Aoz_Q4TzFNI4DeJC57pSshR5fs7zc76NVkl8,2013-10-20T16:51:47,2013-10-20T16:51:47,Beautyful﻿,Beautyful﻿,10,0,fatimamt22,fatimamt22,UCspAnPPPHdv9t73eKUuH8tw
xaS98o_Aoz_4fsq7fnfwEWPSefJ8Qp-b4szYN98n8nM,2013-10-20T16:38:06,2013-10-20T16:38:06,now 7 000 000 ...,now 7 000 000 Please Lets go mai﻿ bitches <3,44,0,Muhamed Ahmad,HamaShanaz,UCBtuVwdQZHZYLl84-O6r4bw
xaS98o_Aoz99Vqe4LsQBb0uQniGY_BmPOBdsqXxzbSk,2013-10-20T16:32:14,2013-10-20T16:32:14,Hermosa﻿,Hermosa﻿,8,0,WILFRED AGUIRRE,wilfred238,UCworlXZXDplIinJTEF1MIWA
xaS98o_Aoz9BZn3UvUJwQD0qjwgYSyqNJtyJYIPkj6Q,2013-10-20T16:08:19,2013-10-20T16:08:19,For an aware ...,For an aware Humanity  Knowledge for a better world : - We are same species (Human)  same family (Humanity). Languages  religions  nations are human inventions. - Harming the environment (overexploitation  pollution....) is also harming ourselves (diseases and early death). For a living body-planet  better﻿ consumption (organic  less meat...)  less births (human overpopulation) and reforestation of the earth (save biodiversity...).,435,0,betterworld365,betterworld365,UC7WL2sZCfMFW_Sr4KxHX1BQ
xaS98o_Aoz_E3O9wFETwyj0tRqn1s1LfwQNzD0fk3gk,2013-10-20T15:16:55,2013-10-20T15:16:55,People  pls know ...,People  pls know this. When we die physically  our souls will move on to either one of these 2 places  heaven or hell (the lake of fire). If u die now  where will your soul be?  "And death & hell were cast into the lake of fire. This is the second death. And whosoever was not found written in the book﻿ of life was cast into the lake of fire (Revelation 20:14-15)  Is your name written in the book of Life?  Jesus Christ is the Savior﻿ & Lord of mankind. Receive Him & be saved! He is coming soon!,498,0,joyss100,joyss100,UCzW8sEvQDf3wXdh_nODB7eQ
