ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
T20Zn97LaLGw3lpnxqgEVJqLO7lnWjckMfBmFB5f7ag,2013-10-20T15:57:31,2013-10-20T15:57:31,Amazing iPhone ...,Amazing iPhone Domino. It looks really synchronized! Anyway  I just stumbled upon this secret link﻿ on how to claim free new iPhone 5S. Check this out guys before it's too late: - ►►► APPLE.COM-5S.BECENTER.COM,209,0,Melissa Lynn,EpU7VJcN50YTEUNkcwji-w,UCEpU7VJcN50YTEUNkcwji-w
T20Zn97LaLG3WfrYKiuH7KCVsglAGb8b_a6vV-Cl6Fo,2013-10-20T15:51:36,2013-10-20T15:51:36,Can I have at least ...,Can I have at least one﻿ of them iphones?,41,0,Lord Catbart,FSbJk8AeMy83kJDfrLl6Rw,UCFSbJk8AeMy83kJDfrLl6Rw
T20Zn97LaLE-MVNqWctnuZMLEVu-ks1HmAJb0EKNTu0,2013-10-20T15:36:38,2013-10-20T15:36:38,wow﻿,wow﻿,4,0,Koza535,Koza535,UCIwady7IkrvqYhvJ8EqLqSQ
T20Zn97LaLG2IbyyJKjXnbBzln29ymJRsMTbx97A3HY,2013-10-20T15:13:52,2013-10-20T15:13:52,Number 6903 was﻿ ...,Number 6903 was﻿ mine,21,0,Ori Sasi,ori1702,UCdVDWKgSnzebe64j8VqbucQ
T20Zn97LaLESXj5TcKU2959vpqDb-xW35SAFm46XAvA,2013-10-20T13:30:37,2013-10-20T13:30:37,You have﻿ just ...,You have﻿ just screwed the one word :),38,0,igru555,igru555,UCOc9E2jVb2BrezzStFMZYfg
T20Zn97LaLF7gdC5AygelmX3SvRkW8tL0YuPOXqmGJo,2013-10-20T13:09:00,2013-10-20T13:09:00,lol in my nation a ...,lol in my nation a iphone 5 costs 850 euro﻿ (900 dollars) give me one lol,73,0,Keison Plaku,uPIsTWbD75ODlkUaeWdLqg,UCuPIsTWbD75ODlkUaeWdLqg
T20Zn97LaLHZOsCW0lbMQT4LlM7ZeShPlPBOfYkfRjY,2013-10-20T12:54:28,2013-10-20T12:54:28,How did you﻿ pay ...,How did you﻿ pay for it,23,0,Karen Bryant,ZUif6LGBv3EFwZ0DMeJ9zA,UCZUif6LGBv3EFwZ0DMeJ9zA
T20Zn97LaLGZtS5vfQtUyGJx1Ah6zQZvNdyPPMb0TBU,2013-10-20T12:54:11,2013-10-20T12:54:11,Sooooo﻿ EPIC!!!,Sooooo﻿ EPIC!!!,15,0,Shara Sili,Wg06Q44qydEs5X3bvbZJkg,UCWg06Q44qydEs5X3bvbZJkg
T20Zn97LaLH1KoUeILZo-6SROUtwFtTYyF2rvQRytCk,2013-10-20T12:25:20,2013-10-20T12:25:20,Epico!!!!!!﻿,Epico!!!!!!﻿,12,0,Alberto Mucciacito,qNbhQqe2ndCdwZJU2QvGFw,UCqNbhQqe2ndCdwZJU2QvGFw
T20Zn97LaLGUk5VcHind8LwhA3oZqPftg5iVJ8fpjiQ,2013-10-20T12:18:22,2013-10-20T12:18:22,Hello there! Join ...,Hello there! Join in the iBotta App Revolution CASH INSTEAD OF COUPONS. Cash and bonuses earned instantly and daily bank transfers!Free to download and can be used on any device  Apple or Android! JUST TRY AND SEE FOR YOURSELF. Visit savemedaily(dot)com (Please replace (dot) with . after savemedaily  Thanks) I﻿ assure you guys wont regret this! A must try.,358,0,buzargalgz reganon,zhujihalgz,UCxPF5bDU_TND1IkhIlLVWAw
T20Zn97LaLEvp2-pE3V3m3-YoHq5N-CwjYSPKlPmX2s,2013-10-20T08:20:32,2013-10-20T08:20:32,thats﻿ 10k screens ...,thats﻿ 10k screens broke !,26,0,HydroIsOG,HydroIsOG,UCelbWSEtuMdWcyDP8Bs9daA
T20Zn97LaLGLkDjzcu_5uGk1l3EsN3XaB3TTBiQ3uzE,2013-10-20T08:10:56,2013-10-20T08:10:56,where did you get ...,where did you get 10k iphones  and how can i do﻿ it?,52,0,Michael Wood,EBzU8UIk9REFyFlJDuy29w,UCEBzU8UIk9REFyFlJDuy29w
T20Zn97LaLEozam-nO8Hyx2EZ_LSnWQIhINqzYCaHgo,2013-10-20T07:44:20,2013-10-20T07:44:20,Where the hell did ...,Where the hell did he get all﻿ those iphones,44,0,Michael Delacruz,Z1Q0r2lqEOudTJjn9xHz3Q,UCZ1Q0r2lqEOudTJjn9xHz3Q
T20Zn97LaLHtlvhY-jjh1k4XEGjk0XAbNDJWHEtl6oM,2013-10-20T05:00:43,2013-10-20T05:00:43,One word:epiness﻿ :D,One word:epiness﻿ :D,20,0,letsmakeadifferince1,letsmakeadifferince1,UCs0P2dfyUKNLJcVLAamD3YA
T20Zn97LaLGyE02caHz76nQkhRlTK9UCF5p3DzXBZeE,2013-10-20T04:30:09,2013-10-20T04:30:09,Yup ﻿ thats how you ...,Yup ﻿ thats how you find viral videos!,38,0,Nick Buck,4554squishey,UCtP87xTUWEbGMrGKIggk9Mw
T20Zn97LaLE3p2JjxxWMeTgHdv1Dph9azlj-zzOi_vg,2013-10-20T01:50:56,2013-10-20T01:50:56,Amazing iPhone ...,Amazing iPhone Domino. It looks really synchronized! Anyway  I just stumbled upon this secret link on how﻿ to claim free new iPhone 5S. Check this out guys before it's too late: - ►►► APPLE.COM-5S.BECENTER.COM,209,0,Melissa Lynn,EpU7VJcN50YTEUNkcwji-w,UCEpU7VJcN50YTEUNkcwji-w
T20Zn97LaLHkUeUsKM9mYa9Y8nSpoyNZyEzAb8zR_Dk,2013-10-20T01:11:44,2013-10-20T01:11:44,i just youtubed ...,i just youtubed youtube﻿ and got here :o,40,0,heartinv,heartinv,UCdQM_qXxqvP5ikcpHqKtttw
T20Zn97LaLE7UEllq2_aEFtyfC5AbQ1Zj5d9-5HRcTQ,2013-10-19T23:39:42,2013-10-19T23:39:42,OMG﻿ HOLY IPHONE!!!!,OMG﻿ HOLY IPHONE!!!!,20,0,Hutur(@!e,Huturfale,UCoRb2y-F1dnyLblyse9ud0w
T20Zn97LaLGcW_qOMkMKyLCgZEKdDB2bPoJXIDZF5zE,2013-10-19T23:28:51,2013-10-19T23:28:51,omg were they found ...,omg were they found all these iphones﻿,38,0,GOONS TCdeja,A5Hbd3oAj9J_uEpOV_fFEQ,UCA5Hbd3oAj9J_uEpOV_fFEQ
T20Zn97LaLEnG-fFKmA5oV4EQ3oIgsYSyBWKaZ_OFrQ,2013-10-19T23:26:02,2013-10-19T23:26:02,HAHAHA﻿ XD ↓↓↓↓,HAHAHA﻿ XD ↓↓↓↓,15,0,Heather Allard,lCAazn9LiPlT3yqjEFCJQA,UClCAazn9LiPlT3yqjEFCJQA
T20Zn97LaLH0iJqwZw1roXTfA0E3-9D_cmyxyosaHZc,2013-10-19T23:10:47,2013-10-19T23:10:47,Imagine﻿ trying to ...,Imagine﻿ trying to find your phone after that,45,0,Kbilsoy,Kbilsoy,UCE07w3fMvn6DGqRedz9ytaA
T20Zn97LaLHkFumnQ-QiIECnesZQnMXcYyQeIxZANnI,2013-10-19T21:18:28,2013-10-19T21:18:28,if some people ...,if some people would read the description. Quote "This iPhone video is imagined as an advertisement for the iPhone 5 concept feature of NFC. If iPhone 5S comes with the NFC feature  this could be﻿ a pretty neat iPhone commercial.',230,0,Donald Ellison,lyHKZdOdqnORB47WmdYgaA,UClyHKZdOdqnORB47WmdYgaA
