ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
LneaDw26bFsEpGjIAuTnEqbaSIhY8ihp9Sk5qz0zWvA,2013-10-20T17:20:18,2013-10-20T17:20:18,fuck the world﻿,fuck the world﻿,15,0,niti king,MoUsH508tH-lej_L1eTxDw,UCMoUsH508tH-lej_L1eTxDw
LneaDw26bFt0E2vDJW5uWJAdT1-vfXuqG73YTOQESi0,2013-10-20T17:10:24,2013-10-20T17:10:24,i love this (megan﻿ ...,i love this (megan﻿ rihanna eminem ......) all this is great ♥,62,0,hajar fleur vivante,seyKNzpPA-TE6zmnIf48fg,UCseyKNzpPA-TE6zmnIf48fg
LneaDw26bFvoDiSmKnFbuylszHpwHdBfolHZnHWWtqM,2013-10-20T17:07:27,2013-10-20T17:07:27,cause thet don't ...,cause thet don't like that what u like? Yes  they're﻿ idiots.,61,0,Owik Elazyan,howiczek,UCI9yF8n_q8e3kRpATCMl34Q
LneaDw26bFtl2MeLgR-lvAyCbFzZ1himlUblnxt-Ji8,2013-10-20T17:03:18,2013-10-20T17:03:18,Great song! HQ ...,Great song! HQ audio﻿ download: bit.ly\15UOGsI,46,0,Antony Turner,2ie7umpusHUojkImNCmAcA,UC2ie7umpusHUojkImNCmAcA
LneaDw26bFtqFAvWfyyhwusJyr8JRFVLgQ7Gxav3HgY,2013-10-20T17:01:01,2013-10-20T17:01:01,#RAPGOD﻿,#RAPGOD﻿,8,0,Pedro Carrara,JCu4K_b6NJ1CtRoBk7DRgw,UCJCu4K_b6NJ1CtRoBk7DRgw
LneaDw26bFs0ZIBg8j02dcHlt55-sy6n4TbMjPS6avo,2013-10-20T16:58:44,2013-10-20T16:58:44,53 184 people﻿ are ...,53 184 people﻿ are black rappers.,33,0,LikeYoica,ClI1_t3zdJ3uvxMNJ7SPqw,UCClI1_t3zdJ3uvxMNJ7SPqw
LneaDw26bFu2EWydOxdBtCqRx9Tne4FifVladSbreFM,2013-10-20T16:56:32,2013-10-20T16:56:32,Maybe no one will ...,Maybe no one will probably read this. But just in case you do Can You Put A "Thumbs Up "So Others Can See. I Just started rapping seriously (Type in Lunden- Life Is) just﻿ a simple button can help my dreams come true. people will ignore this but if you don't can you listen and subscribe or download my mixtapes for free at lunden.bandcamp.com Thank you all God Bless-Lunden,374,1,Lunden Ivory,YungDreams,UC8TiClbl7qiuksHBtG_5yAA
LneaDw26bFvOXv3brhL3xNfhvaUUWze1WIjwn6hU-6U,2013-10-20T16:51:03,2013-10-20T16:51:03,He is also Merry ...,He is also Merry from lord of﻿ the rings,40,0,Dr Lasertater,BitchSandwich,UC8qG2mux-tbFP19TWqa7ZJQ
LneaDw26bFuTxRmLk0viyZLoNOEGAJ_cna60rHB822s,2013-10-20T16:47:55,2013-10-20T16:47:55,This past Christmas ...,This past Christmas my dad passed away  to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i'm at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times  I can't promise you professionally produced music  but I can promise REAL lyrics. Just click on﻿ my picture. Thanks  and thumbs up so others may see?,496,0,Nick Amodei,amodei778,UCMbgLnvzxLH9GBOIGCb32bA
LneaDw26bFullF9-eXBGUDteiTbqB3lzHn-Xp-THrjo,2013-10-20T16:47:18,2013-10-20T16:47:18,Recommend:  Apple﻿ ...,Recommend:  Apple﻿ iPhone 5 (Latest Model) - 32GB - Black Unlocked NEW Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  LED 3D HDTV: Panasonic 65-inch Price: $460  Apple MacBook Pro 13-inch: 2.5GHz Intel Core i5 4GB/500GB Price:$430  All-in-One PCs: Apple MacBook Air Price:$320  Canon EOS 60D Digital SLR Camera 50mm 18-55mm Price:$360  ******************    Purchase online Website is:  Gaeee.com,484,1,king jim,XRDgi4t6OHIPhUSIlzKJng,UCXRDgi4t6OHIPhUSIlzKJng
LneaDw26bFsnD2P5nKCi9NO1PaKno-JcqV_CM1W9Too,2013-10-20T16:38:32,2013-10-20T16:38:32,Fucking bad song﻿,Fucking bad song﻿,17,0,mohammed alharbei,5EEeMxF8shNVSmAHngXxBQ,UC5EEeMxF8shNVSmAHngXxBQ
LneaDw26bFtaPluDcswBgbMe3PKgKc-Cgvb70jG0yz0,2013-10-20T16:36:43,2013-10-20T16:36:43,Maybe no one will﻿ ...,Maybe no one will﻿ read this. But   PLEASE TYPE IN "Taj Mack" i'm a rapper with a dream. I know there's like 200k of those in this world but please check out my music and subscribe if you want thanks I would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a "THUMBS UP" other people will see it just a simple button press.. could make my dream come true..Thanx  ..God..Bless..You..,443,0,lukeskywalkerjr4,lukeskywalkerjr4,UCzOhWycYoPRvg9I_DpjLsoQ
LneaDw26bFsHSOpLoPE8bzSMMa4df_rkYFWsTjXbIaE,2013-10-20T16:36:41,2013-10-20T16:36:41,I never forget ...,I never forget this﻿ song !!!,29,0,TDRAGON1303,TDRAGON1303,UCfyzF5Oip5OhRdmODiwXrhw
LneaDw26bFuBcCIbO8APN6QdvCOE9lk_rzuG87920-g,2013-10-20T16:34:16,2013-10-20T16:34:16,The guy with Megan ...,The guy with Megan Fox is Charlie﻿ from LOST,44,0,Charlie Ciporin,O218S9fEpBXV1Dxdgi64Zg,UCO218S9fEpBXV1Dxdgi64Zg
LneaDw26bFuf4Yz4M1k6F5V29cChRQJwqaYtxk6T-EM,2013-10-20T16:34:02,2013-10-20T16:34:02,I T A L Y﻿,I T A L Y﻿,10,0,gabrielladl79,gabrielladl79,UCw_8HkuRB1y5pMLxNjl8Hbg
LneaDw26bFvyACZE9nP2O3nw-hoDf_48-m2rVi2gdjE,2013-10-20T16:32:10,2013-10-20T16:32:10,Love it﻿,Love it﻿,8,0,Marton Annovazzi,cZLnCWXBjgvvRgd7ST_OaA,UCcZLnCWXBjgvvRgd7ST_OaA
LneaDw26bFvfSHu7UPP9mU4QmK-dlqNdR38-8p_a1xA,2013-10-20T16:31:06,2013-10-20T16:31:06,Hey guys  how are ...,Hey guys  how are you?!  AMAZING  a few hours ago BRAND NEW SEXTAPE of singer Rihanna (18+) that shows her getting naked for a russian billionaire at a private party has gone online to the public!! View now for FREE on this website  -->﻿ CelebritySexTape.info . It's AMAZING  Hurry up and watch the FULL VIDEO EXCLUSIVELY before they delete it! The only site where you can find it --> CelebritySexTape.info,406,0,Riri Rihanna,XhIv0AT-CO1TpIsZdGfN8Q,UCXhIv0AT-CO1TpIsZdGfN8Q
LneaDw26bFuJMME_rXq1e7M5Q7rYZmogqdc4E-6KOuA,2013-10-20T16:30:53,2013-10-20T16:30:53,Type in  "34 Bar ...,Type in  "34 Bar Rap with lyrics" it's the first video that pops﻿ up! Don't forget to read the description...,109,0,Kate Mcdermit,jp1Mm5GnrtYPB2YIsAR_gg,UCjp1Mm5GnrtYPB2YIsAR_gg
LneaDw26bFsczWBRxOXU-UxqPB7JoeflYFGNcHQf-28,2013-10-20T16:28:25,2013-10-20T16:28:25,Don't be ridiculous ...,Don't be ridiculous  it's Charlie from Lost! Oh crap  or is Merry from LOTR....﻿,80,0,Samnoid,Samnoid,UC8HuRNqCI9_LFg2SsHjp8eg
