ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
fK93pBvnZINNpgrm-Hry_taCeUw2bFqSlX5vLu1rte0,2013-10-18T21:34:31,2013-10-18T21:34:31,it might my ...,it might my grandmother just got one but it had ios 6 quick update﻿ will solve,78,0,Stephen Schwarz,Pxy5MIF3p0tKU5EX60rWyQ,UCPxy5MIF3p0tKU5EX60rWyQ
fK93pBvnZIOwcz1QgKQY7N688l4Zmz6YG-LmFq_Wmnk,2013-10-15T21:11:10,2013-10-15T21:11:10,Thank you for this ...,Thank you for this information  it's really appreciated considering I was planning to buy an iPad becauseI don't﻿ have one.,123,0,PointlessVids,thenemesis1111,UC4Ww1InlJySP2SE8VTwlVbw
fK93pBvnZIPopO1v3i7MTqNDSeOraW3zXfSwpRlwTNc,2013-10-15T14:26:11,2013-10-15T14:26:11,Make apple sticker ...,Make apple sticker give﻿ away,29,0,Jose Torres,R5T68Ty4TYa2QmzXZewDCw,UCR5T68Ty4TYa2QmzXZewDCw
fK93pBvnZINIADe_fTizuXJvQYwaSpRzZ4qh8VOJCRM,2013-10-15T03:16:41,2013-10-15T03:16:41,The iPad 5 will be ...,The iPad 5 will be announced in 8 days  October 22nd. And you will be able to buy one on Nov 1st﻿,97,0,Isaiah Stevens,flipsk8ter1080,UCgA-YEGpPbOAfPD_oqDMRdg
fK93pBvnZINWsWA8l476ZCCOChFJWBkPabDWTn0SGJo,2013-10-13T04:21:34,2013-10-13T04:21:34,iPad 4. Either that ...,iPad 4. Either that  or wait﻿ for iPad 5 that might be released early next year.,80,0,PointlessVids,thenemesis1111,UC4Ww1InlJySP2SE8VTwlVbw
fK93pBvnZIMqrsyEd2eUGBMjjBbGiq_-RVv1fFHBRAo,2013-10-11T18:39:47,2013-10-11T18:39:47,Found a site that ...,Found a site that sells﻿ really cheap ipads and i figured I'd share the wealth :) ipaddirect.mybigcommerce(dot)com. They're legit  got my retina from them for damn near 350 ;),175,0,Glenn Canady,U4nARSZbkeRL6je8MfpMIw,UCU4nARSZbkeRL6je8MfpMIw
fK93pBvnZIPR0Bcl_6NJdjmmTPrZVn8VNpsm0pwV7Dc,2013-10-08T03:43:17,2013-10-08T03:43:17,Well I have a iPad ...,Well I have a iPad 2000﻿ :),27,0,Billy Rodriguez,mario346133,UC_DAHVUXb4L-_VJSmljoRFw
fK93pBvnZIOJYJNKL14s6geoI-yle6qK7fD-pB01M8k,2013-10-06T19:55:26,2013-10-06T19:55:26,Don't worry about ...,Don't worry about dislikes. You don't deserve﻿ them.,52,0,Jewel,littlediva2002,UC92NZ9tI9WrTTBneeo6bJHg
fK93pBvnZIPD4osYNePnLNnCF6WnNvvqN4aZksXYeN0,2013-10-05T23:28:43,2013-10-05T23:28:43,I almost died when ...,I almost died when the iPad slipped and you caught﻿ it...,57,0,Joshua Haworth,JDMusic4,UC3wWcORV1QIs14qfLS43V4Q
fK93pBvnZIPbH_-Zo2vlR2KWOIXFGMy5PTvi5fYBoKg,2013-09-30T04:35:40,2013-09-30T04:35:40,Are you jewish? ...,Are you jewish? you're﻿ adorable,32,0,rollintabs,rollintabs,UCRYQJgcruQQ_rC6di38XEqA
fK93pBvnZIMq_-OmF8PSQw2Bieo4igd8Iq69iqtqWuE,2013-09-27T09:52:35,2013-09-27T09:52:35,I wonder who got ...,I wonder who got the free ipad﻿,31,0,Erica Estelle Cañares,v_AipN7DNFP8LyJzpGWdmw,UCv_AipN7DNFP8LyJzpGWdmw
fK93pBvnZIPOB4URITZGhg_h6Z7w3fHQ3conx9aCUoI,2013-09-27T00:03:23,2013-09-27T00:03:23,i want﻿ that ipad,i want﻿ that ipad,17,0,kevin e. gayles,thekidd3571,UCw6NMGsq4EvbCzUpO4g54pQ
fK93pBvnZIPSLJXFTlQT22lF8fxF5ZeU-A00t17nYnk,2013-09-26T22:02:55,2013-09-26T22:02:55,Your so funny...﻿  ...,Your so funny...﻿  What iPad do you recommend. It will be my first iPad.  I have a fire Kindle HD  the camera is awful. And its only front face camera. everything else good.,173,0,Via Blu,YPWnPGgYYhNvDo1wQJu48Q,UCYPWnPGgYYhNvDo1wQJu48Q
fK93pBvnZIOYNqfAEelJSTg0sBd0odXwJk1xRs3-cLs,2013-09-26T10:07:08,2013-09-26T10:07:08,I like﻿ ur videos.. ...,I like﻿ ur videos......your coooolllll,38,0,Erica Estelle Cañares,v_AipN7DNFP8LyJzpGWdmw,UCv_AipN7DNFP8LyJzpGWdmw
fK93pBvnZIPb2_8LzaUHcgHyU8UstmDet2AvLtnBl1k,2013-09-25T15:14:43,2013-09-25T15:14:43,your cool﻿,your cool﻿,10,0,Musaddik Ali,5UuOXJwp0b56px0fO8uR7A,UC5UuOXJwp0b56px0fO8uR7A
fK93pBvnZIN_JnOY_XbaaQ98N9iOLuwvDptF-TS1upY,2013-09-23T18:05:05,2013-09-23T18:05:05,yes ﻿,yes ﻿,5,0,shiro yuki,lotussheath,UCYxM8vQE9gerT3eqlMrn-Hg
fK93pBvnZIPORqfO0QM9MCvJwYIWQ8xgbipx2CFhUmE,2013-09-23T11:22:33,2013-09-23T11:22:33,Hahaha box﻿ fart...,Hahaha box﻿ fart...,19,0,Jimmy P,idonnoimbored1,UCTImwHuHl0Y6jbQ9EAH94Rw
fK93pBvnZIN1P-T7lQbQC1636SVdTRWn1uUYl7G1Ej4,2013-09-22T21:11:50,2013-09-22T21:11:50,It does﻿ now.,It does﻿ now.,13,0,InAndOutLand,InAndOutLand,UCgCtAZ5so4kgQ4-IDBQjiYg
fK93pBvnZINWEDi0s2Km7Nv6rhHtSmUfx44-DjsrX38,2013-09-22T13:29:04,2013-09-22T13:29:04,Dose it come with ...,Dose it come with ios﻿ 7,24,0,Rawobsidian,Rawobsidian,UCLjbFl6sgFhI4cfFRW32nVw
fK93pBvnZIN1t1uIDZCHz77CUENh0UEYe5n5kINPijI,2013-09-21T01:18:11,2013-09-21T01:18:11,your﻿ so ...,your﻿ so aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaawwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooommmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,406,1,Ahsan Waseem,6G31uN06T4Cgm02wmypyVg,UC6G31uN06T4Cgm02wmypyVg
fK93pBvnZIOCcTAnGpSz2TKKlKrl3e-qySyglaF7fYg,2013-09-19T14:25:08,2013-09-19T14:25:08,Dude﻿ I love your ...,Dude﻿ I love your vids,22,0,Garrett Kolb,w16Q1VJNMd97FmiQwR0Myw,UCw16Q1VJNMd97FmiQwR0Myw
fK93pBvnZINsXJ7FBJA177p_qdrfn9uuYVecmEaVUzk,2013-09-18T12:39:44,2013-09-18T12:39:44,If someone is ...,If someone is interested in knowing﻿ more about iPad:  ｗｗｗ.ｉｐａｄｌｅｓｓｏｎｓｇｕｉｄｅ.ｃｏｍ,79,0,Mike1990omg,Mike1990omg,UCcqKNzTJYLeMPTcGuKYorzg
fK93pBvnZINlX-4NYm1XHlKLMe3iZhkCVb7IXtMvQN8,2013-09-18T05:18:01,2013-09-18T05:18:01,This dude is rich﻿,This dude is rich﻿,18,0,JokeCeleb,JokeCeleb,UCMhyoMwmA_ddbe1uLrHruPw
fK93pBvnZIP8W86_YsUTNwGf4l5BUVgdvH2t9Ot6I48,2013-09-18T05:16:40,2013-09-18T05:16:40,Watching this on my ...,Watching this on my iPad﻿ 6,27,0,JokeCeleb,JokeCeleb,UCMhyoMwmA_ddbe1uLrHruPw
fK93pBvnZIPPOkBrQIl9fEck83kS2jEC7kJ_QceHykQ,2013-09-16T09:19:32,2013-09-16T09:19:32,I have﻿ ipad 4,I have﻿ ipad 4,14,0,Thongaram Intapuong,tintapuong,UCIlaj_Yfju4eTtLZVQqmyWw
fK93pBvnZIPLJOcSEhWN0tcNoO2f8p5b0GDoIbeZIW8,2013-09-09T04:08:21,2013-09-09T04:08:21,i think this was ...,i think this was the first video of﻿ yours ive ever watched or it was the ipad mini,83,0,Bethloves1d,tapeworm1020,UCvBXU-l5ef5xs_obLsdrYkg
fK93pBvnZINlO32DLJ7iF0gMUr-PBHZZqPzLpdDWhx8,2013-09-06T14:03:27,2013-09-06T14:03:27,You can get free ...,You can get free apps﻿ for iOS and android. 1:Go to featurepoints .c o﻿ m and use code QINJ53﻿ for bonus points when﻿ you sign up  and earn more by watching videos and downloading apps. 4:When you﻿ have enough points you'll be able to get free apps  gift cards and﻿ other stuff for free.,287,0,TheTuri24,TheTuri24,UCnnMivMUkZ9k6Ui-8ai66ww
fK93pBvnZINq49Vf4swNb7fPaDIEa5AHaYz02gM_iRE,2013-09-06T08:36:58,2013-09-06T08:36:58,can i have one of ...,can i have one of ur old ipad plz ?﻿ :),39,0,RodrickMJB4,RodrickMJB4,UC91VIF83ePnT3hqgTjJxSJw
fK93pBvnZIPY7kb102hffv-W6SVAnfCLH4od1mNcSD8,2013-09-05T10:32:44,2013-09-05T10:32:44,You're such a ...,You're such a giant﻿ nerd  a rich  rich  nerd ;__; TEACH ME,59,0,Steve Bear,Bear261186,UC3Ln5jU1Nsn64D94t8E5zbg
fK93pBvnZINMO5VL_kbuOiH5xRdf_tusYC5oQh0o744,2013-09-04T05:01:37,2013-09-04T05:01:37,How many gigs is﻿ it,How many gigs is﻿ it,20,0,EQIpadhelp,EQIpadhelp,UCJZKj6B-uZh1Ojk07qtERlw
fK93pBvnZIPfcf6LEqcK4_lWm630VDNZKjyZYVstw74,2013-09-03T23:48:29,2013-09-03T23:48:29,9:29﻿ omfg lol,9:29﻿ omfg lol,14,0,Moddedturttle,Moddedturttle,UCwbQAiUJ686o0yFDOAWRmyA
fK93pBvnZIM_MFOhJ57KfFkIe2In2FByrUzGVGWDLD0,2013-09-02T17:29:05,2013-09-02T17:29:05,I'm watching this ...,I'm watching this on my iPad 4﻿,31,0,Patrick Rogan,patrickrogan6,UCcuRoYkLrSGdR4SRcc5Hk3g
fK93pBvnZIPyYkgdMSlNQ27VNImy9Agzp-5OI1WBMu4,2013-09-02T12:37:38,2013-09-02T12:37:38,you are a good﻿ ...,you are a good﻿ person hope you  believe there is one god name allah he send many messengers to guide people and let them know about allah the God. Be muslim ♡,160,0,sweeir,sweeir,UCq9DyZE7sofvDOLQH5pp_yQ
fK93pBvnZIP0iIMe0sjSID8FOfQqGONImPiK3AgjcWg,2013-09-02T01:33:52,2013-09-02T01:33:52,the﻿ ipad is stupid,the﻿ ipad is stupid,19,0,dakota elledge,MrMommyofboys2,UCrflWdDB_9Wx3aapEHjw2Ew
fK93pBvnZINLVm1Z73kiMkHSnCZQtDQ1CvWYP1VHloA,2013-09-01T09:45:40,2013-09-01T09:45:40,i want that mini﻿,i want that mini﻿,17,0,raehan mahmood,unFa5L30538x4o0azeVqCQ,UCunFa5L30538x4o0azeVqCQ
fK93pBvnZINvE4i61fn-32l4oY_3Lu73fXbL8L36kIo,2013-09-01T09:45:24,2013-09-01T09:45:24,lol ﻿,lol ﻿,5,0,raehan mahmood,unFa5L30538x4o0azeVqCQ,UCunFa5L30538x4o0azeVqCQ
fK93pBvnZIO3CuBhhp7neqwySAw2M1BOIbXtpw8VOhk,2013-09-01T07:45:17,2013-09-01T07:45:17,Give me that ipad ...,Give me that ipad mini﻿,23,0,Jeroen Scheepers,waglwcrSoqZ0DKyn6X5uuA,UCwaglwcrSoqZ0DKyn6X5uuA
fK93pBvnZIMNzAApLONvGPACXIR3OfCCirTw1Noi2Ao,2013-09-01T07:44:47,2013-09-01T07:44:47,Nice man you﻿ are ...,Nice man you﻿ are freaking funny seriusly,41,0,Jeroen Scheepers,waglwcrSoqZ0DKyn6X5uuA,UCwaglwcrSoqZ0DKyn6X5uuA
fK93pBvnZIOPFFoDkcbnLwjyGHrh9pQhD-MCYxYSeUE,2013-09-01T05:00:54,2013-09-01T05:00:54,I love it !! Rick ...,I love it !! Rick Moranis and Eugene Levy had a love child !  just kidding man﻿ .... good review .. you're a funny guy with good insight,136,0,pedro sanchez,pAsonrrrdLKXbovYYXLEYA,UCpAsonrrrdLKXbovYYXLEYA
fK93pBvnZIPFcrVeVxwO2eujC2XcfT6Viiy8QEeufGU,2013-09-01T01:33:39,2013-09-01T01:33:39,bless﻿ you,bless﻿ you,10,0,Milan Tomic,MilanTomicPrince,UCJjiDkqFTNXTCob-x9KbaCA
fK93pBvnZIMcTfJbPlwvZGvS-7eeYFp6pmrB3n8vHo4,2013-08-30T14:07:13,2013-08-30T14:07:13,I want that Ipad ...,I want that Ipad Please give it to me   Add me on﻿ facebook  Danny Cortez,73,0,Danilo Romano,EKhCKyeQb1a-Ksp2YblQgw,UCEKhCKyeQb1a-Ksp2YblQgw
fK93pBvnZIM-gipahfgeezeejH9MapUR9xFI0-p54h0,2013-08-30T04:05:01,2013-08-30T04:05:01,Idk wether to﻿ ...,Idk wether to﻿ choose this or the new nexus 7. Very hard decision thinking about the price points!,98,0,Ivan Rodriguez,rodriguezivan01ir,UCYVbGb_nF3h8QWtuw6gxMHg
fK93pBvnZIMEBbBel4O0uYfJsSygdWvkhWWXsFdCBx4,2013-08-30T04:02:02,2013-08-30T04:02:02,fuck dude﻿ i ...,fuck dude﻿ i thought there literally was a spider on my fucking screen. almost punched a hole through my monitor.,113,0,Zaimulwaie,Zaimulwaie,UCWhsURlwMF3WejmgBrP_nrA
fK93pBvnZIPUOm527wvWoB9iWdMB72ZvYUs_HG4k6N0,2013-08-30T00:43:33,2013-08-30T00:43:33,a﻿ liiiiittle bit ...,a﻿ liiiiittle bit jelly,23,0,CJAOSHENY JC,OVM2kHGZRal-KQdvXbB4jw,UCOVM2kHGZRal-KQdvXbB4jw
fK93pBvnZIPAFWvJQwO82veR6tAb9qQemVj55vD9afo,2013-08-29T22:05:15,2013-08-29T22:05:15,Aren't you﻿ bored?,Aren't you﻿ bored?,18,0,Mara9117,Mara9117,UCC3igjYczLfa8bKpdwG2bwA
fK93pBvnZIP2fvDN5Gr3lmvy9oWGLZXeBCIZAkyDLZk,2013-08-29T07:17:32,2013-08-29T07:17:32,LMFAO AMAZON FREE ...,LMFAO AMAZON FREE GIFT CAR FAGGIT U SO UGLY U﻿ LOOK LIKE A FUCKIN LOCUS ALIEN VS PREDATOR LOOKIN BITCH!,103,0,ELChulo Mc,qSsh6PUrBsPDz0G_4A3VUw,UCqSsh6PUrBsPDz0G_4A3VUw
fK93pBvnZIOCFVonVZvd1Orijv1hh7uDy9cVJPL4rM8,2013-08-28T11:49:08,2013-08-28T11:49:08,i bet﻿ you are as ...,i bet﻿ you are as well,22,0,oExZiTe,oExZiTe,UCJHUr8GpIDugjEfsTC7frhA
fK93pBvnZIPDLRh44rcMqyi10-D33TLDpoIkOcOe6N8,2013-08-26T07:21:01,2013-08-26T07:21:01,If it ain't broke  ...,If it ain't broke  don't fix﻿ it..,34,0,TheAscratch,TheAscratch,UCD8G7u0Ns_2apTgTTu6NuDw
fK93pBvnZIMIsSYUDjBQT5BIMrOQnrD0Lau8nzIDG6o,2013-08-25T17:53:16,2013-08-25T17:53:16,Can﻿ you please do ...,Can﻿ you please do a video comparing the ipad2 with the ipad4? Thanks!,70,0,rosieeverywere,rosieeverywere,UCckCp6EDn_QUG7CHdq69Ivw
