ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
1-VqfIcRxA3yYNpM3E-6iqO7600lHk_386mNtPFWH4Q,2013-10-20T16:52:13,2013-10-20T16:52:13,I﻿ feel a protesto ...,I﻿ feel a protesto coming,25,0,Caio de Carvalho F.,dinomundobr,UC4ayv_fciNS1kAmwJ7ypE6g
1-VqfIcRxA0iPKzq_kMRPSFmvApsJkUYJ-CkGNcyaFI,2013-10-20T16:49:16,2013-10-20T16:49:16,Sony tentou fazer ...,Sony tentou fazer um acordo com BRasil infelizmente  como sempre esse BRasil é foda como sempre. Sony queria fazer um valor acessível. Como não teve acordo  Sony elevou seu valor muito além do bolço do brasileiro  com isso forçando Brasileiros importarem seus produtos  tirando dinheiro do seu próprio país  pra gerar economia nos Estado﻿ unidos  que fica mais em conta mesmo.,376,0,thiago nicolau,tzQcovfhMo3kneKk-dRfBA,UCtzQcovfhMo3kneKk-dRfBA
1-VqfIcRxA2XESL8pzEQtVz0jL3VUn3BsjHQqmdjS84,2013-10-20T16:28:48,2013-10-20T16:28:48,o video game﻿ mais ...,o video game﻿ mais caro do mundo foi o lançamento do ps3  5-7 mil reais. Outra o xbox one não vai ser fabricado no brasil  vai ser importado igualzinho o ps4  então se for pensar do se jeito era para ele custar 4 mil reais tbm  so que vai ser 2 mil  então acho que o problema dessa vez não e a dilma,299,0,pedro henrique,locao999,UCjVlZiO7T5ZPjIKUCW1vF1A
1-VqfIcRxA0Sz-NlAJnbuN7coNPnCK_EVaJ_-cA88_U,2013-10-20T16:18:26,2013-10-20T16:18:26,vamo protesta ﻿,vamo protesta ﻿,15,0,simon basiloni correa,saimon120100,UCMy8B5BVM3rpPR9FNTZohSA
1-VqfIcRxA2GJ1LW4E6iGg9gtW2cr2eQxjWB-oGEWXI,2013-10-20T15:42:23,2013-10-20T15:42:23,Davy Jones para ...,Davy Jones para Presidente!﻿,28,0,Gabriel Dias,Gabriel6861,UCsoO2H2eL6euCOlFEZzfreg
1-VqfIcRxA3IlzZQWF3N7KWiia3roQHHgls_0hpkOIU,2013-10-20T15:31:10,2013-10-20T15:31:10,É ISSO﻿ AI!!!!!!!!! ...,É ISSO﻿ AI!!!!!!!!!!!!!!,24,0,André Azevedo,aazevedobr78,UCqx_lHfE9qlzTjGxdWMyb4w
1-VqfIcRxA2GVhkgYWsHtO--Cp0lJT_Ne-S7KFnsNPY,2013-10-20T15:29:26,2013-10-20T15:29:26,O xone tb não é ...,O xone tb não é produzido no brasil e em tese paga o mesmo tributo q﻿ o PS4  tudo bem que o imposto é um absurdo  mas mesmo que o imposto fosse 0 ele não seria R$800 00 e mesmo se ele fosse produzido aki no Brasil ele não custaria menos de R$1500 00. Aki no Brasil se produz pouco para se ter um preço alto e qq coisa no mercado brasileiro é colocado no minimo 100% de lucro em cada venda.,389,0,Felipe Bueno,felbue,UChAye8Z4FBPhMEqt435a0Dg
1-VqfIcRxA1dgEPyZ_-RQ6NL8E3VwsKSYUIe8RHo7f4,2013-10-20T14:34:53,2013-10-20T14:34:53,Cara  eu acho que ...,Cara  eu acho que tem um pouco de decisão da Sony sim. Eles acabaram de abrir uma fábrica no Brasil de PS3. Se eles colocam um PS4﻿ com o preço próximo do que é o ps3  eles criam um concorrente à um produto deles mesmo. A idéia da Sony é gastar o PS3 aqui até parar de vender e aí entrar com o PS4. Eles querem que a galera comprem o PS3 msm...nao o PS4,353,0,Luiz Rodrigo Amaral,luizpaulist,UCNv5bF3M1ulVm0adToPWVtQ
1-VqfIcRxA14gzDMSk0gEJ0SQGuh81hkDp1_e2VRzIc,2013-10-20T14:25:56,2013-10-20T14:25:56,Oba  agora é só ...,Oba  agora é só votar no PSDB q﻿ o preço vai pra 1 99 !!! ¬¬' bem de boa cara .....,83,0,MrCaetano Branco,MrCaetanobranco,UCNNcFclTzeMYywWUollqgGA
1-VqfIcRxA14Dk5YUo09Cj_u_Vf-SN23nkK3BzeGvW8,2013-10-20T13:48:43,2013-10-20T13:48:43,Correto Ricardo. ...,Correto Ricardo. Não há sentido os EUA e a Europa terem o PlayStation mais barato na história do console  enquanto a América do Sul ﻿ principalmente o Brasil  estão tendo os preços mais elevados do mundo! É óbvio que a Sony subsidiou o valor final do PS4 para concorrer com o One e está tentando jogar este encargo nos países sul-americanos  pois embora o mercado no exterior não﻿ esteja se expandindo em grande proporção  ainda é uma mercado mais importante para Sony e Microsoft,480,0,Hallison Francisco da Silva,hallisonfrancisco,UCISLn0ldHGNdvXQwu2eNWvQ
1-VqfIcRxA3IpMUc6iGYNtX88eVuCBWMu_Iq7cF3bKU,2013-10-20T13:48:01,2013-10-20T13:48:01,Depois dessa ...,Depois dessa palhaçada que a Sony fez não me dou bem ao trabalho de importar. Todas a empresas subsidiam seus produtos e o preço desse﻿ subsídio sempre recai aqui  porque sabem que há quem compre  mas dessa vez a Sony passou dos limites  pois geralmente as empresas trazem seus produtos para cá custando o dobro  no máximo o triplo do valor praticado nos EUA  mas a Sony trouxe o PS4 pelo quíntuplo!,399,0,Hallison Francisco da Silva,hallisonfrancisco,UCISLn0ldHGNdvXQwu2eNWvQ
1-VqfIcRxA3OnjXJ18FKAVe1Evanvymjji2mtn1CcNI,2013-10-20T12:22:51,2013-10-20T12:22:51,Mas se﻿ eu importar ...,Mas se﻿ eu importar tambem nao vou pagar imposto sobre importaçao e e sim quanto deve ficar o console com os impostos sobre importaçao (todos eles)?,148,0,GhostOfSpaarta,GhostOfSpaarta,UCyVvwikek1W4T5OvnHQ0P1Q
1-VqfIcRxA3B34mM3tP6ErTtijUR7zfkRwlTqudeDEY,2013-10-20T10:57:08,2013-10-20T10:57:08,o problema é q no ...,o problema é q no brasil só o consumidor q paga todas as taxas do produto acumulados e o lucro dos vendedores﻿ é  mais de 100%...se fosse dividido entre governo empresários vendedores e consumidores o preço do ps4 ficaria sim mais barato.,238,0,Helyson Tomaz,helyson2530,UCNbv9MNx-FWCPNym1q5nX3g
1-VqfIcRxA2wAd1Jo5E_dPEn_8em6eIbE1NXOJDgGjE,2013-10-20T07:01:28,2013-10-20T07:01:28,wow that sucks i ...,wow that sucks i would overthrough the brazilian government if i lived there. haha  (disclaimer:- in case your one of those fanataics  that was a sracstic remark meant for no real﻿ world applicanlity),200,0,R goldy,-s4KhQZAsFszyI9rjRMNTA,UC-s4KhQZAsFszyI9rjRMNTA
1-VqfIcRxA2h6dc6b6L_11Y7BX3rzV1t8JKfTUg3XZg,2013-10-20T06:04:05,2013-10-20T06:04:05,é oq eu sempre falo ...,é oq eu sempre falo  to no brasil até arruma grana pa﻿ sumir daki =),68,0,Rafael Hollister,tanaka1987,UC0qTNuNTrujaoxMUWN7IhTQ
1-VqfIcRxA2BZBT3irPCW4WZDHNWYy1AgG4cmPapIV8,2013-10-20T05:36:20,2013-10-20T05:36:20,Simplesmente ...,Simplesmente ridículo  pois o PS4 tem tudo pra ser super vendido aqui no Brasil e é muito melhor do que o Xbox One. Mas o Governo e os impostos atrapalharam tudo. O jeito é comprar nos Estados Unidos ou Paraguai essa poha.  E mesmo com esse valor﻿ absurdo a Sony vai sair ainda sim muito na frente da Microsoft.,311,0,Fábio Campachi,blySCzYiPDg8OzTkhOMkLw,UCblySCzYiPDg8OzTkhOMkLw
1-VqfIcRxA2G9c_HQitAV8BmeqXa7IsGh17xpOFwv5U,2013-10-20T05:30:56,2013-10-20T05:30:56,Compre o Xbox One e ...,Compre o Xbox One e ganhe um﻿ Kit escrito "SE FUDEU",52,0,Fábio Campachi,blySCzYiPDg8OzTkhOMkLw,UCblySCzYiPDg8OzTkhOMkLw
1-VqfIcRxA3fINIKh0tyUoINHKi_dsjqO_9e-j6PkzE,2013-10-20T05:18:48,2013-10-20T05:18:48,Velho  eu ia ...,Velho  eu ia escrever isso + - isso ae. O cara nao se da ao luxo de pesquisar  vem e ja começa o video com uma merda tremenda  dizendo que o Xbox One﻿ sera feito no Brasi...!!!! Parei ali mesmo.,194,0,luiz kliszcz,luizintba,UCcO9SP-hW7S5Rzowx3psGZg
1-VqfIcRxA3zEiAr1EazLXQYMiQ3XNEDGzxBYNhFfpU,2013-10-20T05:07:20,2013-10-20T05:07:20,simples a somy n ...,simples a somy n quer que vc compre o console dela aki no brasil porque n sei mais com esse presso ela n ´pode reclamar de nada mesmo que fosse 100% de imposto em sima do console n seria caro assim nada justifica esse presso o unico jeito e importa e ainda tem chao ate o ps4 sair ate la as coisas podem mudar na verdade eu  espero que mudem pois se n mudaram vai mofar ps4 nas lojas por﻿ ai kkkkkkkkkkkkk,405,0,Thomas Henrrique,ThomasHenrrique6,UC-TjSWCqQ7zbjUHdK3OCNuA
