ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
HwHxK_Mz3o5POb-IfZY39yPPska2_RZvmURgdc8EfHo,2013-10-20T17:28:28,2013-10-20T17:28:28,nice ﻿,nice ﻿,6,0,jeremia D'Hooghe,5F2hP2O6XkY09Os2gkg8ng,UC5F2hP2O6XkY09Os2gkg8ng
HwHxK_Mz3o5zmJUxgvNz-06mTWzBcbIO4kEX0nyUP0o,2013-10-20T17:27:58,2013-10-20T17:27:58,You idiot go in the ...,You idiot go in the yellow﻿ circlr,34,0,legoboy921ify,legoboy921ify,UCSnt5GMUKD73aixgcWFTMXw
HwHxK_Mz3o6gDUHGXfWdjaLOx1MjS9D7rlPym1Hlsxw,2013-10-20T17:25:57,2013-10-20T17:25:57,Small Trever﻿ ...,Small Trever﻿ missions,22,0,legoboy921ify,legoboy921ify,UCSnt5GMUKD73aixgcWFTMXw
HwHxK_Mz3o5wHFyGW0-igT31EN-kYFhGOeg8ExbgFBE,2013-10-20T16:24:40,2013-10-20T16:24:40,just﻿ found a human ...,just﻿ found a human statue easter egg  got a video on our channel :),68,0,NerdJuicedGaming,NerdJuicedGaming,UC3Ude8PGXZQnw0X9THYl6fw
HwHxK_Mz3o5BLfxdv76SGStqTRfz_ICzrSibOKE_YM8,2013-10-20T16:16:08,2013-10-20T16:16:08,Michael is my ...,Michael is my favorite.﻿,24,0,Sakari Koskinen,eyVJfUQUNmw41mNWlMWoKQ,UCeyVJfUQUNmw41mNWlMWoKQ
HwHxK_Mz3o7qzmnufnJiR2aOj9SzF88kvUL0wjRcbhk,2013-10-20T15:50:21,2013-10-20T15:50:21,He had﻿ to go up ...,He had﻿ to go up stairs!,24,0,TheMighty Rager,OMzNLSmIHXquKeOw1uqXIA,UCOMzNLSmIHXquKeOw1uqXIA
HwHxK_Mz3o7EX8NY0RLfJF31-DQdB7ZESj4nGi-yqvg,2013-10-20T15:03:52,2013-10-20T15:03:52,Fraklin﻿,Fraklin﻿,8,0,Teagan Cady,Q4M6OWjEuyIPl_5J_W7PpA,UCQ4M6OWjEuyIPl_5J_W7PpA
HwHxK_Mz3o7G4YpSA4zg0D1wxxGpa5X3vOWkWtF0SCE,2013-10-20T14:57:08,2013-10-20T14:57:08,Hike give me your ...,Hike give me your profile name I'm going to add﻿ you,52,0,abdul ahmed,kt22LL2OSFDm2IRxQL2kzQ,UCkt22LL2OSFDm2IRxQL2kzQ
HwHxK_Mz3o6aZBikDxpJPXO3jGIZSh1jJ2g2w8Fi1x0,2013-10-20T14:50:24,2013-10-20T14:50:24,It is﻿ a Bmw,It is﻿ a Bmw,12,0,Teagan Cady,Q4M6OWjEuyIPl_5J_W7PpA,UCQ4M6OWjEuyIPl_5J_W7PpA
HwHxK_Mz3o597k8mamD6KpzySnwLQoo4kYA2mpkD2qY,2013-10-20T14:22:09,2013-10-20T14:22:09,your﻿ awsome,your﻿ awsome,12,0,Mark Smith,lZK-_qDAI9Ko0_G_wAbQ4g,UClZK-_qDAI9Ko0_G_wAbQ4g
HwHxK_Mz3o5-Y3Y2XQw87U7XoPMdc3m3dgvisM-W0lY,2013-10-20T14:17:28,2013-10-20T14:17:28,I﻿ liked the ending,I﻿ liked the ending,19,0,King Max,lDP5h_OcTdJqAQlbP_aeMA,UClDP5h_OcTdJqAQlbP_aeMA
HwHxK_Mz3o7WrkrU58V_IRea5HHuEE3oDy2ITBzEQWo,2013-10-20T14:10:35,2013-10-20T14:10:35,you are a﻿ ...,you are a﻿ wonderful singer,27,0,ffilipp56,ffilipp56,UC8G9GfwW4g3XcCD9MtCs7iQ
HwHxK_Mz3o7NOxRiLE2w_iV2GOZoK53MFSMPqCxAdH4,2013-10-20T13:19:56,2013-10-20T13:19:56,that mission you ...,that mission you were tryna do in the first like 5 minutes  yea when you walked up to the building and said there's no way to get in  uhh yea there was  it was right.the.fuck.there..that yellow circle in front of the door was the way in..DURRR!!! look around next time -____- smh﻿,280,0,TheTzmnian,TheTzmnian,UCY8ufw2n2UIqLMjjQFCTVGw
HwHxK_Mz3o4Y7zYZOnQef0fEDXaizBBiGHXWmiMeizE,2013-10-20T13:09:55,2013-10-20T13:09:55,Ur tha best hike﻿,Ur tha best hike﻿,17,0,declankane20,declankane20,UCEnOUpGIuEXzPxg_LSlhrdQ
HwHxK_Mz3o6om3mrmj8wrvh2QfK6AydIa8q1R_CwLDA,2013-10-20T12:55:00,2013-10-20T12:55:00,Alia has more﻿ ...,Alia has more﻿ subscribers than you. No offence,47,0,jane strangward,4wMLtmC-5AXcc9LxtnHVBw,UC4wMLtmC-5AXcc9LxtnHVBw
HwHxK_Mz3o6IAjUL8LPmi8xJT9wYnSxdCSHmjQBvsJE,2013-10-20T12:54:41,2013-10-20T12:54:41,this is not live﻿,this is not live﻿,17,0,bob ridley,Oxv0AxY7s1l51bpNmJJb8w,UCOxv0AxY7s1l51bpNmJJb8w
HwHxK_Mz3o6028bz7AAUiWbndVVzkXiEwviTcUwmS_o,2013-10-20T12:45:51,2013-10-20T12:45:51,I﻿ cant watch the ...,I﻿ cant watch the video,23,0,Reggie Myers,E5VenBU4hc30ykFXOgmc8A,UCE5VenBU4hc30ykFXOgmc8A
HwHxK_Mz3o6ZkOE6A-AwWp3LT1gAszV51_p0mSoR6CA,2013-10-20T12:36:24,2013-10-20T12:36:24,Check my﻿ channel,Check my﻿ channel,17,0,allard jan de jong,eRFyJxAqU4mVM_Vot_o-jA,UCeRFyJxAqU4mVM_Vot_o-jA
HwHxK_Mz3o78hG-iuIDqQ4Oi0-lpOs8sWyIq8BrDbYo,2013-10-20T12:28:44,2013-10-20T12:28:44,WHEN IS  ﻿,WHEN IS  ﻿,10,0,danny hyland,WICKEDxDAN16,UCDGlUt1yKfy-chASccrGgXw
HwHxK_Mz3o4JXJv9fgnoOuoBNqoVlMggxdMviAzMDHo,2013-10-20T12:16:14,2013-10-20T12:16:14, ...,hjber.kiughlrtiglithrg/jjjjjjjjjj/;pisdhf'/gpawerptuh'aep4ih'pi4ht'pI9H43T 39tuh;o48AH3;4YH3;5YH5'3OYH'5YHA'5H'O'A5HTH45Y45'YTO'S4YU'Y'6''6Y'Y'Y'YY'Y'Y'Y''YY'YYY''Y'YYY'Y'Y'YYYY'Y'Y'Y'YY'﻿,188,0,danny hyland,WICKEDxDAN16,UCDGlUt1yKfy-chASccrGgXw
