ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
JX_6LttYLahkWmkOuwjdygp-Q2QQ5LWndPW6u2jMTYI,2013-10-20T14:39:38,2013-10-20T14:39:38,Can﻿ this run the ...,Can﻿ this run the programming language dev c? please reply soon i might be getting this if it can!! thanks alot.,112,0,Peter Baker,OWJUPcRA3Jy-QNjcAfNm4Q,UCOWJUPcRA3Jy-QNjcAfNm4Q
JX_6LttYLagcDkfLnSPI3fIrveWchYIPY9PVDYaPzEI,2013-10-20T09:00:02,2013-10-20T09:00:02,They are files  you ...,They are files  you can﻿ transfer them wherever you want,56,0,Denis Lara,denisrenelara,UCzpU2wZ6PbT3jk4--lfNBzA
JX_6LttYLajVluOQNxQrhzjL4kYtD8W5lZ0P0_uGjKQ,2013-10-19T01:26:15,2013-10-19T01:26:15,SHE﻿ TALK SO FASTT ...,SHE﻿ TALK SO FASTT  LOL,23,0,joshua kineard,qwG4d9uWhTtQT6XAP3nW4Q,UCqwG4d9uWhTtQT6XAP3nW4Q
JX_6LttYLahrOXSQU5Lyk47wEQN0UNHCyudVxD9BbGk,2013-10-19T00:01:24,2013-10-19T00:01:24,Thanks alot....now﻿ ...,Thanks alot....now﻿ I will get it soon...,41,0,Bryant Pena,NqohJQ_-LG1--OgJdPd5XA,UCNqohJQ_-LG1--OgJdPd5XA
JX_6LttYLajuAIdpvYFdbGAXeSszAxiX17s9EjsLP4k,2013-10-18T15:30:41,2013-10-18T15:30:41,no you can﻿ use the ...,no you can﻿ use the usb port to transfer files,46,0,Kevin Vandy,racg24oKriqN9pVhGiopqg,UCracg24oKriqN9pVhGiopqg
JX_6LttYLagTiiHCoc9XCXSRH_nR09wL37pEdPqciJE,2013-10-18T13:23:47,2013-10-18T13:23:47,Look at my channel ...,Look at my channel -->  how to fold a shirt by using Microsoft Surface RT﻿,74,0,Syafiq Maula,SyafiqMaulaTvChannel,UC-3Sj6vznRGKUXIqCzvaeLg
JX_6LttYLajuk4xeqdDRPs-0NQ6Me_RFasMACfcBPkk,2013-10-18T13:21:14,2013-10-18T13:21:14,iPadmini ...,iPadmini seasonalSell﻿  begins upad3.com,40,1,ravi solanki,ravindrasolanki,UCqgem-fmXj0WeUFEW8SVuXQ
JX_6LttYLag69pPF1hhZb8XKfbtsQd59izsarqQKmwQ,2013-10-18T06:43:56,2013-10-18T06:43:56,I love this tab so ...,I love this tab so much...big screen and light weight very useful and help my study life much easier... easy to learn   ps: it﻿ has chinese version to choose...lol~ love it so much!!! i strongly recommend you have one!!!!  here is the link to it in case anyone is interested:amzn.to\19OKpGO,290,0,HighTechGadgets,h7lEE49MMy6dcWIZ3vqjKQ,UCh7lEE49MMy6dcWIZ3vqjKQ
JX_6LttYLagec4TpCpRw0qY_wR-vZxkIzhfHipR4USI,2013-10-15T22:03:33,2013-10-15T22:03:33,lol u don't ...,lol u don't purchase songs JUST for the crapple devices... just take﻿ the mp3's (mp4's m4a's  anything) you bought and transfer them over. as for the apps  those are on a completely different brand device and app market so obviously you wont have them on the surface.,267,0,poswimol,poswimol,UCqXfaFBS52nyG1G9GfUSzBg
JX_6LttYLajDYK8I0w1dgc6jFHXJZ80XflOd7ayDX6I,2013-10-14T19:11:49,2013-10-14T19:11:49,Surface RT has ...,Surface RT has desktop? Isn't that Surface Pro? Correct me if I am wrong. I am planning to buy Surface 2 RT at the end of﻿ this year.,133,0,izyanyazed,izyanyazed,UC73kVdF8l90QiHKYjrPF8-w
